date,description,death_date
2024-01-02,"<p>Memória dos santos <strong>Basílio Magno</strong> e <strong>Gregório de Nazianzo</strong>, bispos e doutores da Igreja.</p>
<p><strong>Basílio</strong>, bispo de Cesareia da Capadócia, hoje Nenizi, na Turquia, denominado Magno pela sua doutrina e sabedoria, ensinou aos monges a meditação da Sagrada Escritura e o trabalho na obediência e na caridade fraterna, ordenando a sua vida monástica segundo uma regra que ele próprio compôs. Instruiu os fiéis com excelentes obras escritas e dedicou-se ao cuidado pastoral dos pobres e dos enfermos. Morreu no primeiro dia de Janeiro.</p>
<p><strong>Gregório</strong>, seu amigo, bispo de Sásima, depois bispo de Constantinopla, finalmente bispo de Nazianzo, também na actual Turquia, defendeu com grande ardor a divindade do Verbo, pelo que foi também chamado o Teólogo. A Igreja alegra-se com a memória conjunta destes grandes santos doutores.</p>
<p> </p>",(† c. 379 e 389)
2024-01-02,"<p><strong>2.   </strong>Em Roma, São <strong>Telésforo</strong>, papa, que, segundo o testemunho de Santo Ireneu, foi o séptimo bispo sucessor dos Apóstolos e sofreu glorioso martírio.         </p>",(† c. 136)
2024-01-02,"<p><strong>3.   </strong>No território de Córi, a trinta milhas da cidade de Roma, os santos <strong>Argeu</strong>, <strong>Narciso</strong> e <strong>Marcelino</strong>, mártires.</p>",(† s. IV)
2024-01-02,"<p><strong>4*.   </strong>Em Marselha, cidade da Provença, na actual França, São <strong>Teodoro</strong>, bispo, que, por se ter empenhado em estabelecer a disciplina eclesiástica, foi perseguido pelos reis Childeberto e Gontrano, que o mandaram três vezes para o exílio.</p>",(† 594)
2024-01-02,"<p><strong>5*.   </strong>No mosteiro de Bóbbio, na Emília, actual Emília-Romanha, região da Itália, São <strong>Bladolfo</strong>, presbítero e monge, discípulo de São Columbano.</p>",(† c. 630)
2024-01-02,"<p><strong>6.   </strong>Em Milão, na Lombardia, também na Itália, São <strong>João</strong> <strong>Bom</strong>, bispo, que restaurou a sede episcopal desta cidade, precedentemente transferida para Génova por causa dos Lombardos. Pela sua fé e boas obras agradou a Deus e aos homens.</p>",(† c. 660)
2024-01-02,"<p><strong>7*.   </strong>No território de Tulle, na Aquitânia, na actual França, São <strong>Vicenciano</strong>, eremita.               </p>",(† 672)
2024-01-02,"<p><strong>8*.   </strong>Em Limerick, na Irlanda, São <strong>Mainquino</strong>, que é venerado como bispo.</p>",(† s. VII)
2024-01-02,"<p><strong>9.   </strong>No mosteiro de Corbie, na Gália Ambianense, hoje território de Amiens, actualmente na França, Santo <strong>Adalardo</strong>, abade, que tudo fez para que cada um tivesse o suficiente, isto é, nem gozassem do supérfluo nem vivessem na penúria, mas todos se dedicassem diligentemente ao louvor de Deus.</p>",(† 826)
2024-01-02,"<p><strong>10*.   </strong>Em Maurienne, na Sabóia, actualmente também na França, Santo <strong>Airaldo</strong>, bispo, que, tanto na solidão de Portes como na sede episcopal de Maurienne, associou à prudência e governo pastoral a austeridade e os costumes cartusianos.</p>",(† 1146)
2024-01-02,"<p><strong>11*.    </strong>Em Troína, na Sicília, região da Itália, São <strong>Silvestre</strong>, abade, que seguiu a disciplina dos Padres orientais.</p>",(† s. XII)
